id,category,label,description,threat_level,risk_score,sanitize_action,learning_weight,applicable_apps,file_types_at_risk,regex_patterns,indicators,example_breach_vector
BD-001,personally_identifiable_information,Full Legal Name,"First, middle, last name of a real individual",HIGH,72,redact,0.82,web_application|mobile_application|database_system|medical_system|financial_system|government_classified,.csv|.json|.xml|.txt|.pdf|.docx|.xlsx,[A-Z][a-z]+ [A-Z][a-z]+|\bName\s*:\s*\S+,PII|GDPR_VIOLATION|HIPAA_VIOLATION,"Database dump, form export, employee roster leak"
BD-002,personally_identifiable_information,Social Security Number (SSN),9-digit US government identifier,CRITICAL,97,quarantine,0.99,database_system|financial_system|government_classified|medical_system,.csv|.txt|.pdf|.docx|.json|.xlsx|.xml,\b\d{3}-\d{2}-\d{4}\b|\b\d{9}\b,CRITICAL_PII|IDENTITY_THEFT_RISK|FEDERAL_VIOLATION,"Tax records export, HR database dump, insurance claim files"
BD-003,personally_identifiable_information,Date of Birth,Full or partial birth date,HIGH,68,redact,0.78,web_application|mobile_application|medical_system|financial_system|government_classified,.csv|.json|.xml|.txt|.pdf,"\b\d{1,2}/\d{1,2}/\d{2,4}\b|DOB\s*:\s*|Date of Birth",PII|AGE_DISCLOSURE|GDPR_VIOLATION,"Patient records, account creation logs, voter registration files"
BD-004,personally_identifiable_information,Home Address,"Physical street address including city, state, zip",HIGH,75,redact,0.8,web_application|mobile_application|database_system|financial_system,.csv|.json|.txt|.pdf|.docx,"\d{1,5}\s[A-Za-z]+\s(?:St|Ave|Blvd|Rd|Dr|Ln)|\b[A-Z]{2}\s\d{5}\b",PII|LOCATION_DISCLOSURE|STALKING_RISK,"E-commerce order export, mailing list leak, delivery manifests"
BD-005,personally_identifiable_information,Email Address,Personal or work email address,MEDIUM,55,redact,0.65,web_application|mobile_application|api_service|database_system,.csv|.json|.txt|.xml|.html|.eml,"[a-zA-Z0-9._%+\-]+@[a-zA-Z0-9.\-]+\.[a-zA-Z]{2,}",PII|PHISHING_VECTOR|SPAM_LIST,"Marketing list dump, CRM export, newsletter subscriber leak"
BD-006,personally_identifiable_information,Phone Number,Mobile or landline phone number,MEDIUM,52,redact,0.62,web_application|mobile_application|database_system|financial_system,.csv|.json|.txt|.pdf,\b\(?\d{3}\)?[-.\s]?\d{3}[-.\s]?\d{4}\b|\+1\s?\d{10},PII|PHONE_DISCLOSURE|SIM_SWAP_RISK,"Contact book export, SMS campaign lists, support ticket logs"
BD-007,authentication_credentials,Plaintext Password,Unencrypted user password stored or transmitted in clear,CRITICAL,100,quarantine,1.0,web_application|mobile_application|api_service|desktop_application|database_system,.py|.js|.env|.conf|.ini|.txt|.sh|.bat|.yml|.yaml|.json,"password\s*=\s*['""][^'""]+['""]|pwd\s*:\s*\S+|pass\s*=\s*\S+",CRITICAL_CREDENTIAL|HARDCODED_SECRET|AUTH_BYPASS_RISK,"Source code commit, config file leak, log file containing debug output"
BD-008,authentication_credentials,API Key / Secret Token,"Bearer tokens, API keys, secret keys for service authentication",CRITICAL,98,quarantine,0.99,web_application|api_service|cloud_infrastructure|desktop_application,.env|.json|.py|.js|.yml|.yaml|.txt|.conf,"api[_-]?key\s*=\s*['""][A-Za-z0-9+/=]{20,}['""]|sk-[A-Za-z0-9]{48}|AKIA[0-9A-Z]{16}",CRITICAL_CREDENTIAL|API_KEY_EXPOSURE|LATERAL_MOVEMENT_RISK,"GitHub repo push, environment variable dump, Docker image layer"
BD-009,authentication_credentials,Private Cryptographic Key,RSA/EC/PGP private keys in PEM or DER format,CRITICAL,100,quarantine,1.0,web_application|api_service|cloud_infrastructure|government_classified|financial_system,.pem|.key|.p12|.pfx|.asc|.txt,-----BEGIN (RSA |EC |OPENSSH |PGP )?PRIVATE KEY-----|-----BEGIN CERTIFICATE-----,CRITICAL_CRYPTOGRAPHIC|PKI_COMPROMISE|IMPERSONATION_RISK,"Misconfigured web server, backup archive leak, container image"
BD-010,authentication_credentials,Session Token / Cookie,Active session identifiers that allow account hijacking,CRITICAL,95,quarantine,0.97,web_application|mobile_application|api_service,.log|.txt|.har|.json,sessionid=[A-Za-z0-9]+|JSESSIONID=[A-Za-z0-9]+|auth_token=[A-Za-z0-9._-]+,CRITICAL_CREDENTIAL|SESSION_HIJACK_RISK|REPLAY_ATTACK,"HTTP log export, browser debug export (.har), proxy log leak"
BD-011,authentication_credentials,OAuth 2.0 Refresh Token,Long-lived OAuth tokens that regenerate access without password,CRITICAL,96,quarantine,0.98,web_application|mobile_application|api_service|cloud_infrastructure,.json|.db|.sqlite|.log,"refresh_token['""]?\s*:\s*['""][A-Za-z0-9._-]{40,}",CRITICAL_CREDENTIAL|PERSISTENT_ACCESS|OAUTH_COMPROMISE,"Mobile app database export, OAuth debug log"
BD-012,financial_data,Credit / Debit Card Number (PAN),16-digit primary account number for payment cards,CRITICAL,99,quarantine,1.0,web_application|mobile_application|financial_system|database_system,.csv|.txt|.pdf|.json|.xml|.log,\b4[0-9]{12}(?:[0-9]{3})?\b|\b5[1-5][0-9]{14}\b|\b3[47][0-9]{13}\b,CRITICAL_PCI_DSS|CARD_FRAUD_RISK|PCI_VIOLATION,"POS terminal logs, payment processing dump, e-commerce order export"
BD-013,financial_data,Card Verification Value (CVV),3-4 digit card security code,CRITICAL,100,quarantine,1.0,web_application|mobile_application|financial_system,.csv|.txt|.log|.json,"cvv\s*=\s*\d{3,4}|cvc\s*:\s*\d{3,4}|security.?code.{0,10}\d{3,4}",CRITICAL_PCI_DSS|CARD_NOT_PRESENT_FRAUD|SEVERE_PCI_VIOLATION,"Form submission log, payment API debug dump"
BD-014,financial_data,Bank Account Number + Routing Number,Direct bank account credentials for ACH transactions,CRITICAL,97,quarantine,0.98,financial_system|database_system|web_application,.csv|.pdf|.txt|.json|.xml,"routing.?number.{0,20}\d{9}|account.?number.{0,20}\d{8,17}",CRITICAL_FINANCIAL|ACH_FRAUD_RISK|WIRE_FRAUD_RISK,"Payroll export, direct deposit setup files, wire transfer logs"
BD-015,financial_data,Salary / Compensation Data,Individual employee salary or bonus information,HIGH,70,redact,0.74,database_system|financial_system|desktop_application,.csv|.xlsx|.pdf|.docx,"salary\s*:\s*\$?[\d,]+|compensation\s*=\s*\d+|annual.?pay.{0,20}\d+",FINANCIAL_PII|GDPR_VIOLATION|HR_SENSITIVE,"HR system export, payroll spreadsheet leak, performance review docs"
BD-016,medical_health_data,Medical Record Number (MRN),Unique patient identifier within a healthcare system,CRITICAL,92,quarantine,0.95,medical_system|database_system|government_classified,.hl7|.xml|.csv|.pdf|.json,"MRN\s*:\s*\d+|medical.?record.{0,10}\d{6,}|patient.?id.{0,10}\d+",CRITICAL_PHI|HIPAA_VIOLATION|PATIENT_HARM_RISK,"EHR export, hospital billing files, insurance claims"
BD-017,medical_health_data,Diagnosis / ICD Code with Patient ID,Medical diagnosis linked to an identifiable patient,CRITICAL,94,quarantine,0.96,medical_system|database_system,.hl7|.xml|.csv|.pdf|.json,"ICD-?10\s*:\s*[A-Z]\d+|diagnosis.{0,20}(cancer|HIV|diabetes|mental|psychiatric)",CRITICAL_PHI|HIPAA_VIOLATION|STIGMA_DISCLOSURE_RISK,"Clinical notes export, insurance pre-authorization files"
BD-018,medical_health_data,Prescription / Medication Record,Drug prescriptions tied to patient identity,CRITICAL,91,quarantine,0.93,medical_system|database_system|government_classified,.pdf|.hl7|.csv|.txt,"Rx#\s*\d+|prescription.{0,10}(mg|mcg|ml)|medication.{0,15}(daily|twice|once)",CRITICAL_PHI|HIPAA_VIOLATION|DRUG_ABUSE_DISCLOSURE,"Pharmacy system export, controlled substance tracking files"
BD-019,medical_health_data,Biometric Data (Fingerprint / Retina),Raw or template biometric sensor data,CRITICAL,98,quarantine,0.99,mobile_application|government_classified|iot_device|desktop_application,.bin|.dat|.json|.xml|.iso,fingerprint_template|biometric_hash|iris_scan|faceprint,CRITICAL_BIOMETRIC|GDPR_VIOLATION|IRREVOCABLE_PII,"Access control system export, border control database dump"
BD-020,network_infrastructure,Internal IP Address Range,Private network subnets and topology maps,HIGH,78,redact,0.85,web_application|api_service|cloud_infrastructure|industrial_scada|government_classified,.conf|.xml|.json|.csv|.txt|.log|.yaml,"10\.\d{1,3}\.\d{1,3}\.\d{1,3}|192\.168\.\d{1,3}\.\d{1,3}|172\.(1[6-9]|2[0-9]|3[01])\.\d{1,3}\.\d{1,3}",NETWORK_TOPOLOGY|RECON_DATA|LATERAL_MOVEMENT_FACILITATOR,"Network configuration export, Nmap scan results, device inventory"
BD-021,network_infrastructure,VPN Credentials / Configuration,"VPN server addresses, usernames, passwords, PSKs",CRITICAL,96,quarantine,0.97,desktop_application|cloud_infrastructure|government_classified|air_gapped_network,.ovpn|.conf|.txt|.xml|.json,"remote\s+vpn\.|psk\s*=\s*\S+|vpn.password.{0,10}\S+|server\s*=\s*\d+\.\d+\.\d+\.\d+",CRITICAL_CREDENTIAL|NETWORK_BYPASS|PERIMETER_BREACH,"Remote worker device export, IT helpdesk config export"
BD-022,network_infrastructure,Firewall Rules / ACL Configuration,Inbound/outbound rules that define network boundaries,HIGH,82,quarantine,0.88,cloud_infrastructure|industrial_scada|government_classified|air_gapped_network,.conf|.txt|.sh|.xml|.json,ACCEPT\s+tcp|iptables\s+-A|permit\s+ip\s+any|deny\s+any\s+any,NETWORK_ARCHITECTURE|ATTACK_SURFACE_MAP|BYPASS_PLANNING,"Backup config export, IT audit files, router/switch config backup"
BD-023,source_code_intellectual_property,Database Connection String,Connection strings with credentials for databases,CRITICAL,97,quarantine,0.99,web_application|desktop_application|api_service|cloud_infrastructure,.env|.conf|.json|.xml|.py|.js|.php|.config,(mysql|postgres|mssql|mongodb|redis)://[^@]+@[^/]+|Server=.*;Database=.*;User Id=.*;Password=.*;|mongodb\+srv://[^@]+@,CRITICAL_CREDENTIAL|DATABASE_TAKEOVER|DATA_EXFILTRATION_GATEWAY,"Source code leak, .env file committed to git, config export"
BD-024,source_code_intellectual_property,Proprietary Algorithm / Trade Secret Code,"Core business logic, pricing models, trading algorithms",HIGH,80,quarantine,0.84,desktop_application|api_service|financial_system|industrial_scada,.py|.java|.cpp|.c|.go|.rs|.cs,# PROPRIETARY|# DO NOT DISTRIBUTE|# CONFIDENTIAL|@trade_secret,INTELLECTUAL_PROPERTY|COMPETITIVE_ESPIONAGE|NDA_VIOLATION,"Code repository export, compiled binary with embedded logic, insider threat"
BD-025,source_code_intellectual_property,Cloud Provider Access Keys (AWS/Azure/GCP),"IAM keys, service account credentials, subscription IDs",CRITICAL,100,quarantine,1.0,cloud_infrastructure|web_application|api_service|desktop_application,.env|.json|.csv|.txt|.yml|.yaml,AKIA[0-9A-Z]{16}|aws_secret_access_key\s*=\s*[A-Za-z0-9/+]{40}|AIza[0-9A-Za-z_\-]{35},CRITICAL_CLOUD_CREDENTIAL|CRYPTOMINING_RISK|DATA_EXFILTRATION_RISK|RANSOMWARE_DEPLOYMENT_RISK,"Committed .aws/credentials, terraform state file, CI/CD log"
BD-026,government_classified,Classified Document Markings,"SECRET, TOP SECRET, SCI, FOUO, NOFORN, CONFIDENTIAL markings",CRITICAL,100,quarantine,1.0,government_classified|air_gapped_network|desktop_application,.pdf|.docx|.txt|.pptx|.xlsx|.html,TOP\s+SECRET|(TS/SCI)|CLASSIFIED BY|NOFORN|FOR OFFICIAL USE ONLY|FOUO,CRITICAL_CLASSIFIED|ESPIONAGE_RISK|FEDERAL_CRIMINAL_VIOLATION|NATIONAL_SECURITY,"Unauthorized air-gap transfer, USB exfiltration, insider leak"
BD-027,government_classified,Personnel Security Clearance Records,"Clearance levels, polygraph results, investigation files",CRITICAL,99,quarantine,1.0,government_classified|air_gapped_network|database_system,.pdf|.docx|.xml|.csv,clearance.?level|polygraph.?result|SF-86|security.?investigation,CRITICAL_CLASSIFIED|PERSONNEL_SECURITY|BLACKMAIL_RISK,"HR system export from SCIF, unauthorized access to adjudication database"
BD-028,industrial_control_systems,SCADA Network Topology / PLC Addresses,Industrial control system network maps and device addresses,CRITICAL,98,quarantine,1.0,industrial_scada|air_gapped_network|iot_device,.xml|.conf|.csv|.txt|.json|.bin,PLC\s*\d+|SCADA|Modbus\s+TCP|DNP3|ladder.?diagram|HMI.?address,CRITICAL_ICS|SABOTAGE_RISK|INFRASTRUCTURE_ATTACK|STUXNET_CLASS,"USB transfer from control room (Stuxnet-style), maintenance laptop export"
BD-029,industrial_control_systems,Firmware Update Package (Unsigned/Modified),Device firmware with altered or unsigned binary payloads,CRITICAL,100,quarantine,1.0,iot_device|industrial_scada|air_gapped_network,.bin|.img|.hex|.fw|.elf,firmware|bootloader|flash.?write|\x7fELF,CRITICAL_FIRMWARE|PERSISTENT_IMPLANT|SUPPLY_CHAIN_ATTACK,"Malicious firmware on USB (Fanny-style), compromised update server"
BD-030,malware_indicators,Executable with High Entropy Payload,Encrypted or compressed malicious code embedded in a file,CRITICAL,99,quarantine,1.0,web_application|desktop_application|air_gapped_network|industrial_scada,.exe|.dll|.bin|.pdf|.docx|.xls|.zip,\x4D\x5A|MZ header|PE32\+?|entropy > 7.5,CRITICAL_MALWARE|HIGH_ENTROPY_PAYLOAD|POTENTIAL_RANSOMWARE|STEGANOGRAPHY,"Steganographic payload, macro-embedded document, hollowed PE"
BD-031,malware_indicators,Macro-Enabled Office Document,VBA/XLM macros in Office files that can execute code,HIGH,85,quarantine,0.91,web_application|desktop_application|email_system,.docm|.xlsm|.pptm|.doc|.xls,VBA|Sub Auto_Open|Document_Open|Shell\(|CreateObject,MACRO_THREAT|CODE_EXECUTION_RISK|INITIAL_ACCESS_VECTOR,"Phishing attachment, USB drop, legitimate file with injected macro"
BD-032,malware_indicators,Shell / Reverse Shell Script,Bash or PowerShell script establishing remote command execution,CRITICAL,100,quarantine,1.0,web_application|desktop_application|api_service|air_gapped_network,.sh|.ps1|.bat|.py|.txt|.php,/dev/tcp/|nc\s+-e|bash -i|powershell.*-enc|IEX.*DownloadString,CRITICAL_EXPLOIT|REVERSE_SHELL|COMMAND_CONTROL|C2_BEACON,"Webshell upload, supply chain code injection, insider threat"
BD-033,location_tracking,GPS Coordinates Linked to Person,Precise lat/lon location data tied to identifiable individual,HIGH,73,redact,0.79,mobile_application|iot_device|web_application|government_classified,.json|.csv|.xml|.gpx|.kml,"latitude\s*:\s*-?\d+\.\d{4,}|longitude\s*:\s*-?\d+\.\d{4,}|\""lat\""\s*:\s*-?\d+\.\d+",LOCATION_PII|SURVEILLANCE_RISK|STALKING_FACILITATION,"App telemetry dump, photo EXIF export, geofencing logs"
BD-034,location_tracking,EXIF Metadata with GPS in Images,Embedded camera metadata including GPS coordinates and device info,MEDIUM,58,strip_metadata,0.66,mobile_application|web_application|desktop_application,.jpg|.jpeg|.tiff|.png|.heic,GPS.?Latitude|GPS.?Longitude|Make\s*=|Model\s*=|DateTimeOriginal,METADATA_LEAK|LOCATION_DISCLOSURE|DEVICE_FINGERPRINT,"Unstripped photo upload, image sharing without EXIF scrubbing"
BD-035,steganography,Steganographic Payload in Image/Audio,Hidden data encoded in LSBs of media files,CRITICAL,95,quarantine,0.96,web_application|desktop_application|air_gapped_network|government_classified,.png|.bmp|.wav|.mp3|.gif|.tiff,chi-square test fail|lsb_steg_detected|histogram_anomaly|entropy_spike_lsb,CRITICAL_STEGANOGRAPHY|COVERT_CHANNEL|DATA_EXFILTRATION,"Air-gap data exfiltration via image channel, covert C2"
